Model,Level,precision,recall,f1-score,support
Random Forest,0,0.6756756756756757,0.8620689655172413,0.7575757575757576,174.0
Random Forest,1,0.52,0.2653061224489796,0.35135135135135137,98.0
Random Forest,accuracy,0.6470588235294118,0.6470588235294118,0.6470588235294118,0.6470588235294118
Random Forest,macro avg,0.5978378378378378,0.5636875439831105,0.5544635544635544,272.0
Random Forest,weighted avg,0.6195866454689983,0.6470588235294118,0.6112154935684347,272.0
Decision Tree,0,0.6801801801801802,0.867816091954023,0.7626262626262627,174.0
Decision Tree,1,0.54,0.2755102040816326,0.36486486486486486,98.0
Decision Tree,accuracy,0.6544117647058824,0.6544117647058824,0.6544117647058824,0.6544117647058824
Decision Tree,macro avg,0.6100900900900901,0.5716631480178278,0.5637455637455637,272.0
Decision Tree,weighted avg,0.6296740858505565,0.6544117647058824,0.619315170785759,272.0
Logistic Regression,0,0.6442687747035574,0.9367816091954023,0.7634660421545667,174.0
Logistic Regression,1,0.42105263157894735,0.08163265306122448,0.13675213675213677,98.0
Logistic Regression,accuracy,0.6286764705882353,0.6286764705882353,0.6286764705882353,0.6286764705882353
Logistic Regression,macro avg,0.5326607031412524,0.5092071311283134,0.4501090894533517,272.0
Logistic Regression,weighted avg,0.5638453113718964,0.6286764705882353,0.537664708590456,272.0
